,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
66,0.526018061,0.231330658,0.253529395,1.936239179,-0.400709542,0.402803127,0.283834268,-1.317244564,-1.102692159,0.17004191,-1.21739501,-1.102486936,NA
67,1.08960884,0.752381996,0.699670322,1.822943622,-0.35569542,0.387611117,0.288759756,-1.2417848,-1.332469234,0.095293442,-1.087786729,-1.111271417,NA
68,0.910378355,0.826914381,0.93643563,2.000239837,-0.254648087,0.241582292,0.363193775,-1.111387601,-1.10337927,-0.161280681,-1.215366991,-1.224062401,NA
69,1.045965886,0.302683364,1.155101033,1.997248098,0.029581861,0.377406277,0.274568366,-1.269429163,-1.193706159,-0.096502347,-1.641788315,-1.168184177,NA
70,1.075850578,0.394416746,1.163984562,1.920596062,0.027791268,0.241647296,0.118020143,-1.185118305,-1.104405752,0.029571572,-1.588159926,-1.088414821,NA
71,0.457574941,0.32481427,1.064614643,1.966353291,0.232243064,0.332860955,0.062856936,-1.113665905,-0.97795682,0.250914824,-1.683302164,-0.965926901,NA
72,0.250995216,-0.148036602,0.808435361,1.951484018,0.211239914,0.549250961,-0.048304459,-1.335589477,-1.214003608,0.391899131,-1.575651677,-1.001398173,NA
73,-0.194308371,0.865611201,0.484986086,1.844997796,-0.188734419,0.404918995,0.034275069,-1.243054275,-1.058752954,0.364598435,-1.072532111,-1.031323097,NA
74,-0.168663886,0.256467967,0.067672343,1.922347659,-0.402850813,0.347462232,0.032701953,-1.271410427,-1.16198353,0.422269073,-1.123751993,-1.091322345,NA
75,-0.194308371,0.12659352,-0.056331788,1.900137734,-0.609244498,0.269699722,0.085456423,-1.216192409,-1.0167343,0.354531758,-1.108799386,-1.088678674,NA
76,-0.199015416,0.50751287,0.24169092,1.870454741,-0.724870111,-0.234764891,0.212476659,-1.122919445,-0.838622785,0.403862981,-1.164355387,-1.042228702,NA
77,-0.035916044,-0.566612565,0.699340169,2.020625692,-0.562942393,-0.092039459,0.378142726,-1.121022622,-0.850666591,0.395680486,-1.124705026,-1.105836188,NA
78,-0.021957,-0.232951761,0.971422288,2.076202032,-0.421611895,0.023247438,0.512637256,-0.949842459,-1.003175028,-0.231122498,-0.921629885,-1.077595838,NA
79,0.288994699,-0.149085879,1.045294566,2.050803536,-0.481395539,0.076078905,0.552072694,-0.939326141,-1.310962631,-0.494649334,-1.068654513,-1.030913794,NA
80,0.258705887,-0.177574104,0.955615505,2.090083819,-0.38492843,0.489213279,0.51407143,-0.976239787,-1.439481666,-0.534925663,-1.666372652,-1.066015076,NA
81,0.464369305,0.494388494,0.108484892,2.117852011,-0.561038216,0.450462413,0.386529837,-0.884911479,-1.503238577,-0.547582537,-2.111906025,-0.968733016,NA
82,0.521065589,0.692950093,-0.354085524,1.921586606,-0.822531848,0.369068765,0.33832325,-0.98756415,-1.265959555,0.12619113,-2.138540983,-1.000396711,NA
83,0.183513461,0.857389439,0.164166925,1.869891396,-0.740455206,0.41890356,0.358873769,-1.18765623,-1.11005978,0.479518042,-2.016864657,-1.071324012,NA
84,0.561335294,0.719522557,0.478954229,1.804305228,-0.786925956,0.523690194,0.40431626,-1.1627211,-0.857646254,0.453228221,-1.883622293,-1.103165408,NA
85,0.57641487,0.73712862,1.10565058,1.819123467,-0.757953979,0.522571262,0.49268575,-1.2630055,-0.942717562,0.311632743,-1.72994538,-1.13195198,NA
86,0.60369045,0.651928226,0.241917361,1.929204988,-0.369105819,0.642893253,0.634416186,-1.259774749,-1.187987532,0.29831342,-1.869828687,-1.104840979,NA
87,0.646197926,0.60493513,0.318934319,2.069793856,-0.418898397,0.318450334,0.498532446,-1.205172394,-1.239406556,0.183007436,-1.78369799,-1.138327548,NA
88,0.60369045,0.78524917,0.11855798,2.063974231,-0.545329314,0.05807858,0.529844575,-1.20464143,-1.622469513,0.15117177,-1.686920754,-1.068787227,NA
89,0.61378505,0.780663236,-0.184275707,1.979338372,-0.401011363,-0.166512439,0.463614863,-1.243900208,-1.647733648,0.23761807,-1.713632472,-1.030361558,NA
90,0.487251227,-0.069307553,0.662694558,1.973176144,-1.244841165,-0.804052776,-0.200848628,-1.208410553,-0.954857368,-0.480867657,-0.385947432,-1.177585988,NA
