CARKD
dapL_2
ddlB
ddl_1
ddl_2
ddpC
ddpX_1
ddpX_2
deaD
dedA
dedA_2
def_1
def_2
degU_2
degU_3
deoC2
der_2
des
desA_1
desA_2
desV_1
desV_2
dgkA
dhaA_1
dhaA_2
dhaA_3
dinG
dipZ
divK_3
dltA_1
dnaE
dnaE2
dnaG
dnaJ_1
dnaJ_2
dnaJ_4
dnaJ_6
dnaK_1
dnaK_2
dnaK_3
doxA
dpnM
dppA
dppB_2
dps_1
draG
dsbD_1
dtd
dxr
ecfA2_1
ecfA2_2
ecfA3
ecfT
ectB
eda
efeU_1
efeU_2
egtB_1
egtB_3
egtC
egtD
eis
emrB
emrB_1
emrB_2
entS_1
entS_2
entS_3
ephA
ephB
epsN
eriC
estA
estB_1
ettA
exoA
fabG_2
fabG_3
fbaB
fbiC_1
fbiC_2
fbiD
fbpC
fcl_1
fdx4
feoA
feoB
fgd1
fghA
flhA
fmdA
fmt
fni
folB
folD
folE_2
folK
folP
fosB
fpgS
ftrV
ftsH2_2
ftsQ
ftsY
fusA_2
fusA_3
gabD1
galE
galK
galK_2
galT_1
garB
gatY
gcvH
gcvT_1
gcvT_2
gdh
ggt
glbN
gldA
glfT2
glgA_2
glk
glkA
glmM
glmU
glnA_1
glnQ_1
gloB
glpE
glpK
glpQ
glsA2
gltC
gluQ
glyS
gmk
gnl
gntK
gph_1
gph_5
gpmA
gpmA_2
gpmB
gpmI
gpr
gpsA
gpt
grpE
grsB
gshAB
gshB
gsiA_2
gsiB
gsiD
gspA
guaA
gyrA_1
haeIIIM_1
haeIIIM_2
hapE
hcaR
hcaR_1
hchA
hcnC
hcp
hdhA
hemB_1
hemL_1
hemN
hemY
hepA
hepA_2
hflX
hhoA
hhoB
higA
higB
hisA
hisB_1
hisB_2
hisC_1
hisC_2
hisC_3
hisD
hisH
hisI_2
hldE_2
hmuU
hom
hpd
hpf
hpxO_1
hspA
htpX_4
htpX_5
htrA
htrA_1
hupR1_1
hupR1_2
hupR1_3
hupR1_5
idiA
ileS
ilvE
ilvE_1
ilvE_2
infB
inlA
iolG_1
iolG_3
iolS_1
iolS_2
iscS_2
isfD2
isiA
isiB
ispD
ispH
kaiA
kaiB_2
kaiC_1
kdpA
kdpC
kdpD
kefB_1
kefB_2
kefB_3
kefB_4
kefC
kefC_1
kfoC
kimA
kinE
kpsD
kptA
ktrA
ktrB
lacF
lacF_1
lacF_2
lacX
lacZ
lagD
lagD_1
lagD_2
lapB_2
lapB_3
lapB_4
larB
larC
lcfB
ldhA
lepA_1
lepA_2
leuD
leuS
lgrB_1
lgrB_2
lgrD_1
lgrD_2
liaR
ligA
lipA2
lipB
lipM
livQ
lnrJ
lnrK_1
lnrL_1
lnt
lox
lptA
lptB_1
lptB_3
lptC
lptD
lpxA
lpxB_1
lpxB_2
lpxC
lpxD_1
lpxD_2
lpxD_3
lpxG
lspA
ltaE
ltxA
luxQ
lvr
lysA_1
lysA_2
macB_1
macB_2
macB_3
malK
malQ
mazF
mazF9
mazF_1
mazF_3
mazG
mdh
mdrP
mdtA_1
mdtA_2
mdtA_3
mdtA_4
mdtA_7
mdtB
mdtB_2
mdtC
mdtC_2
menA_1
menG
menH_2
menH_4
merA_1
merA_2
merR1
mfd
mfppA
mftC
miaA
minC
minE
mlaE_1
mleN
mltF
mltG
mmpA
mnaA
mneP
mneS
mnmA
mnmG
mntB_1
mntB_2
mntH
mntP
moaA_1
moaB
moaC
moaE
mobA
modA
moeA
mprA_1
mprA_2
mraY
mrdA_1
mrdA_2
mrdB
mreC
mrnC
mrpD
msbA
mscL
mscS
mshA_10
mshA_12
mshA_13
mshA_15
mshA_16
mshA_17
mshA_19
mshA_2
mshA_21
mshA_23
mshA_24
mshA_25
mshA_3
mshA_7
mshA_8
mshD_1
mshD_2
mshD_3
msiK
msmX
msrA_1
msrA_2
msrB
msrB_1
msrB_2
msrP_1
msrQ
mtgA_1
mtnB
mtnD_1
mtnD_2
mtnX
mupP
murAA
murB
murC
murD
murE
murF
murG
murI
murJ
murK
mutL
mutM
mutS2
mutY
nadA
nadB
nadC
nadD_2
nadE
nadR
nagA
nagZ
namA
nanE
narB
nasD
nat
nboR
ndbB_1
ndhD1_2
ndhD1_4
ndk
ndoA_2
nemA
nfi
nhaP
nhaP2
nhaS2
nhaS3
nikO
nirD
norR
norV
novN
nox
nplT
npr
nrdR
nrtA
nrtD
nth
nucH
nudF
nudI
nudJ
nuoJ
nuoL_1
nuoL_3
nupX
nupX_1
nupX_2
obg
ompA
opuCB
opuCC
oxyE
pabB
pacL
pacS
paeR7IR
pal
pal_1
panB
panC/cmk
panE
panP
parD4
parD4_1
pat
patA_1
patA_2
patA_3
pbsA2
pbuG
pchA
pchB
pcp
pcpF
pcrA
pcrA_1
pcrA_2
pcxA
pdaC
pdg
pdhC
pdxA2
pdxH
pebA_2
pepA
pepP_2
petE
petH
petJ_1
petJ_2
pflA
pflB
pfp
pgcA_1
pgi
pgl
pgmB
pheA
pheS
pheT
phnE
phoP_2
phoP_4
phoP_5
phrA_1
phrA_2
phrB
phzF
pilT_2
pipB2_1
pipB2_2
pipB2_3
pipB2_7
pipB2_8
pitA
pknD_1
pknD_10
pknD_12
pknD_14
pknD_16
pknD_17
pknD_18
pknD_2
pknD_20
pknD_21
pknD_22
pknD_23
pknD_25
pknD_27
pknD_3
pknD_34
pknD_35
pknD_36
pknD_38
pknD_40
pknD_49
pknD_5
pkwA
pkwA_2
pleD
plqA
plsC
plsY_1
plsY_2
pmbA_1
pmt
pncB2
pnuC
potA_1
potB
potD_1
potD_2
potD_3
potE
ppaX
ppc
ppgK
pphC
ppk
ppsA_1
ppsA_2
pqqC
pqqCD
pqqE
priA
prkC
prlC
prmC
prmC_2
proA_1
proS
prsA
psaE
psaF
psaJ
psaK1
psaK_1
psaK_2
psbB
psbC_3
psbI
psbO
psbU
psbV2
psbY
pspA
pstA_2
pstB3
pstB3_2
pstC
pstS
pstS_1
pstS_2
pstS_3
pta
ptxB
pucC
purE
purF
purH
purK
purL
purM
purN
purQ
purS
pyrC_1
pyrC_2
pyrE_1
pyrE_2
qmcA_1
qmcA_3
qorA
queA
queE
queF
queG
rapA_1
rapA_2
rapA_3
rapA_5
rbgA
rbsA
rbsA_2
rbsC
rbsK
rbtD
rcp1_2
rcp1_3
rcp1_4
rcsC_1
rcsC_10
rcsC_100
rcsC_109
rcsC_11
rcsC_118
rcsC_13
rcsC_14
rcsC_15
rcsC_18
rcsC_2
rcsC_23
rcsC_24
rcsC_25
rcsC_26
rcsC_27
rcsC_3
rcsC_30
rcsC_32
rcsC_33
rcsC_34
rcsC_35
rcsC_36
rcsC_38
rcsC_39
rcsC_41
rcsC_42
rcsC_44
rcsC_48
rcsC_49
rcsC_50
rcsC_51
rcsC_52
rcsC_54
rcsC_56
rcsC_62
rcsC_64
rcsC_65
rcsC_66
rcsC_68
rcsC_69
rcsC_7
rcsC_70
rcsC_71
rcsC_72
rcsC_73
rcsC_75
rcsC_76
rcsC_81
rcsC_82
rcsC_84
rcsC_85
rcsC_86
rcsC_87
rcsC_88
rcsC_89
rcsC_9
rcsC_90
rcsC_91
rcsC_93
rcsC_94
rcsC_95
rcsC_97
rcsC_99
recD_1
recF_2
recF_3
recF_4
recJ
recN
recO
recQ
recX
relA_2
relJ
resA_2
resA_3
resE
rfaQ
rfbC
rfbD_1
rfbF
rfbF_1
rffG
rgtE_1
rhaR
rhmA
ribBA_1
ribF
ribH
rihA
rimM
rip3_1
rip3_2
rlmB_1
rlmCD
rlmL
rlpA
rluA
rluB
rluD
rluE
rmlC
rnc_2
rnc_3
rnd_1
rnd_2
rne
rnhA
rnhB
rnjA
rnr_1
rph
rplL
rplR
rplY
rpoC2
rpoE
rpoE_1
rppH
rqcH
rsbQ_1
rsbQ_2
rsbW_1
rsbW_2
rsbW_3
rsfS
rsgA
rsmA
rsmB
rsmD
rsmG
rsmH
rsmI
rssB_10
rssB_13
rssB_6
rssB_7
rssB_8
rssB_9
rtpR
rtxA
rutB_2
rutC
rutD_3
ruvC
sacA
salL
sasA_1
sasA_10
sasA_11
sasA_13
sasA_14
sasA_15
sasA_16
sasA_17
sasA_18
sasA_2
sasA_20
sasA_21
sasA_23
sasA_24
sasA_28
sasA_31
sasA_32
sasA_33
sasA_34
sasA_35
sasA_36
sasA_38
sasA_39
sasA_40
sasA_41
sasA_43
sasA_44
sasA_45
sasA_46
sasA_47
sasA_48
sasA_49
sasA_5
sasA_50
sasA_52
sasA_53
sasA_54
sasA_55
sasA_56
sasA_57
sasA_59
sasA_6
sasA_65
sasA_7
sasA_9
sbpA
scmP
scpB
scrK
secDF
selO
sepF
sfnC
sfsA
sigA2_1
sigK
sipT_1
sir_1
sir_2
sixA
smc_1
smc_2
smc_3
smc_4
smc_6
smc_7
smtA
sodA2
speA_1
speE_1
sphR_3
sphX_1
spkB_1
spkB_2
spkB_4
spkC
spkF
spo0F
spoIIAB
spoVD
sppA
sppA_1
srpB
srpB_1
ssb
sseA
ssuA
ssuA_2
ssuA_4
ssuB_1
ssuC
ssuC_2
ssuE
steT
sucC
sucD
sufD
suhB
surE_1
surE_2
tadA_1
tadA_2
tagA
tagG
tagG_2
tagO
tagU_1
tagU_2
tal_2
tam
tam_2
tam_3
tarA
tas
tatA
tatA_2
tcrA
tcrA_1
tcrA_2
tcrA_3
tdh
tenA
tgnD
tgt
thadh
thf1
thiD
thiE
thiL
thiO
thpA
thpR
thyA
thyX
tig
tilS
tkt
tldD_1
tlyA
tmk
tmoS
todF
todF_1
todS
tolB_1
tolB_2
tolB_4
tolQ_1
tolQ_2
tolR_1
tolR_2
tpiA
treS
treZ
tri1
tri1_1
trmH
trmJ
trmR_1
trmR_2
trmR_3
trpC
trpD
trpD2
trpF
trpS
truB
trxB
tsaC
tsaE
tsf
tspO
tspO_1
tvaII
tyrC
tyrS
ubiB_1
ubiB_5
ubiL
ugpB
undec1A
uppP
upp_2
ureB
ureC
ureD
ureE
ureF
uspA2
uvrA
uvrB_2
uvrC
uvsE
vapC1
vapC2
vapC2_2
vapC_1
vatD
vte5
wbgU
wbgU_1
wcaJ
xni
xpkA
xseA
xseB
xylB
xynA1
yafJ
yajO
ybeY
ybgC
ybgC_1
ybiA
ybiX
ybiX_2
ycaC
yccX
yceC
yceC_2
yceD_2
ycf3_1
ycf3_12
ycf3_13
ycf3_14
ycf3_3
ycf3_5
ycf3_7
ycf4
yciC
yciC_2
yciH
yciO
yciV
ydaD
ydbD
ydcV
ydjP_1
yeaD
yebC
yedK
yedY1
yedZ1
yefM
yfcF
yfcG_1
yfcG_2
yfcG_3
yfdC
yffB
ygaP
yggS
ygiC
yhdW
yhdY
yhfK_1
yhgF
yhhT
yhhT_1
yhhW
yidA
yidD
yihV
yitJ
yjiA_2
yjmB
ykfA_1
ykfA_2
yknY
yknY_1
yoeB
yoeB_2
yojI
yqgF
yqhS
yrdA
yrrB
yrrK
ysdC
yusV
ywnH
yybR
yycE
ziaA
ziaR
zosA
zupT
zur
